Temperature,Year,Statistics
18.33,1961,Jan Average
20.5,1961,Feb Average
21.78,1961,Mar Average
25.1,1961,Apr Average
27.04,1961,May Average
26.88,1961,Jun Average
27.21,1961,Jul Average
26.76,1961,Aug Average
26.01,1961,Sep Average
24.66,1961,Oct Average
22.37,1961,Nov Average
20.43,1961,Dec Average
17.56,1962,Jan Average
19.97,1962,Feb Average
21.68,1962,Mar Average
25.19,1962,Apr Average
27.8,1962,May Average
27.09,1962,Jun Average
26.67,1962,Jul Average
26.89,1962,Aug Average
26.71,1962,Sep Average
24.5,1962,Oct Average
23.63,1962,Nov Average
20.63,1962,Dec Average
20.01,1963,Jan Average
19.77,1963,Feb Average
22.03,1963,Mar Average
26.21,1963,Apr Average
26.49,1963,May Average
26.97,1963,Jun Average
27.2,1963,Jul Average
26.9,1963,Aug Average
26.26,1963,Sep Average
25.15,1963,Oct Average
21.78,1963,Nov Average
19.72,1963,Dec Average
19.32,1964,Jan Average
21.6,1964,Feb Average
21.73,1964,Mar Average
25.27,1964,Apr Average
26.66,1964,May Average
26.45,1964,Jun Average
27.04,1964,Jul Average
26.77,1964,Aug Average
25.68,1964,Sep Average
24.96,1964,Oct Average
23.15,1964,Nov Average
21.27,1964,Dec Average
21.16,1965,Jan Average
22.18,1965,Feb Average
23.15,1965,Mar Average
25.97,1965,Apr Average
26.18,1965,May Average
26.78,1965,Jun Average
27.11,1965,Jul Average
26.73,1965,Aug Average
25.57,1965,Sep Average
25,1965,Oct Average
22.99,1965,Nov Average
21.56,1965,Dec Average
18.81,1966,Jan Average
19.61,1966,Feb Average
22.11,1966,Mar Average
24.77,1966,Apr Average
27.26,1966,May Average
27.35,1966,Jun Average
27.3,1966,Jul Average
26.9,1966,Aug Average
25.67,1966,Sep Average
23.9,1966,Oct Average
22.78,1966,Nov Average
19.3,1966,Dec Average
19.79,1967,Jan Average
18.56,1967,Feb Average
22.08,1967,Mar Average
24.03,1967,Apr Average
26.55,1967,May Average
26.76,1967,Jun Average
27.38,1967,Jul Average
26.98,1967,Aug Average
26.2,1967,Sep Average
24.51,1967,Oct Average
23.63,1967,Nov Average
22.55,1967,Dec Average
20.94,1968,Jan Average
20.5,1968,Feb Average
22.44,1968,Mar Average
25.49,1968,Apr Average
27.71,1968,May Average
27.18,1968,Jun Average
27.07,1968,Jul Average
26.83,1968,Aug Average
26.25,1968,Sep Average
25.1,1968,Oct Average
21.73,1968,Nov Average
19.95,1968,Dec Average
19.55,1969,Jan Average
21.42,1969,Feb Average
21.74,1969,Mar Average
24.65,1969,Apr Average
26.96,1969,May Average
26.82,1969,Jun Average
27.02,1969,Jul Average
26.69,1969,Aug Average
26.1,1969,Sep Average
24.11,1969,Oct Average
22.09,1969,Nov Average
21.29,1969,Dec Average
18.53,1970,Jan Average
20.08,1970,Feb Average
21.58,1970,Mar Average
25.43,1970,Apr Average
26.48,1970,May Average
26.77,1970,Jun Average
26.66,1970,Jul Average
26.25,1970,Aug Average
26.32,1970,Sep Average
23.59,1970,Oct Average
21.3,1970,Nov Average
20.5,1970,Dec Average
19.13,1971,Jan Average
20.44,1971,Feb Average
21.96,1971,Mar Average
23.98,1971,Apr Average
27.53,1971,May Average
27.16,1971,Jun Average
27.29,1971,Jul Average
26.64,1971,Aug Average
26.02,1971,Sep Average
25.37,1971,Oct Average
23.43,1971,Nov Average
21.07,1971,Dec Average
19.89,1972,Jan Average
22.84,1972,Feb Average
23.32,1972,Mar Average
26.53,1972,Apr Average
27.4,1972,May Average
27.49,1972,Jun Average
27.11,1972,Jul Average
26.78,1972,Aug Average
26.05,1972,Sep Average
24.42,1972,Oct Average
21.86,1972,Nov Average
19.61,1972,Dec Average
19.08,1973,Jan Average
19.62,1973,Feb Average
21.09,1973,Mar Average
24.59,1973,Apr Average
26.73,1973,May Average
26.91,1973,Jun Average
27.01,1973,Jul Average
26.55,1973,Aug Average
26.37,1973,Sep Average
24.81,1973,Oct Average
22.84,1973,Nov Average
20.52,1973,Dec Average
20.09,1974,Jan Average
21.41,1974,Feb Average
22.85,1974,Mar Average
26.11,1974,Apr Average
26.81,1974,May Average
27.07,1974,Jun Average
27.03,1974,Jul Average
26.67,1974,Aug Average
26.41,1974,Sep Average
24.78,1974,Oct Average
21.81,1974,Nov Average
18.41,1974,Dec Average
19.25,1975,Jan Average
21.49,1975,Feb Average
21.48,1975,Mar Average
24.92,1975,Apr Average
26.45,1975,May Average
27.03,1975,Jun Average
26.88,1975,Jul Average
26.56,1975,Aug Average
25.93,1975,Sep Average
24.83,1975,Oct Average
20.88,1975,Nov Average
20.64,1975,Dec Average
18.91,1976,Jan Average
19.17,1976,Feb Average
22.1,1976,Mar Average
25.51,1976,Apr Average
27.31,1976,May Average
28,1976,Jun Average
27.28,1976,Jul Average
27.18,1976,Aug Average
25.9,1976,Sep Average
25.13,1976,Oct Average
22.13,1976,Nov Average
21.52,1976,Dec Average
20.33,1977,Jan Average
20.74,1977,Feb Average
22.85,1977,Mar Average
25.46,1977,Apr Average
26.57,1977,May Average
27.44,1977,Jun Average
27.2,1977,Jul Average
26.92,1977,Aug Average
25.68,1977,Sep Average
24.39,1977,Oct Average
22.49,1977,Nov Average
21.4,1977,Dec Average
21.22,1978,Jan Average
22.44,1978,Feb Average
23.19,1978,Mar Average
25.64,1978,Apr Average
26.81,1978,May Average
27,1978,Jun Average
27.76,1978,Jul Average
27.09,1978,Aug Average
26.21,1978,Sep Average
24.26,1978,Oct Average
21.94,1978,Nov Average
21.39,1978,Dec Average
20.39,1979,Jan Average
20.41,1979,Feb Average
23.34,1979,Mar Average
26.03,1979,Apr Average
27.32,1979,May Average
27.2,1979,Jun Average
27.41,1979,Jul Average
26.96,1979,Aug Average
25.83,1979,Sep Average
25.16,1979,Oct Average
23.5,1979,Nov Average
21.05,1979,Dec Average
19.61,1980,Jan Average
21.51,1980,Feb Average
23.03,1980,Mar Average
25.58,1980,Apr Average
26.04,1980,May Average
26.85,1980,Jun Average
26.76,1980,Jul Average
27.39,1980,Aug Average
26.47,1980,Sep Average
24.65,1980,Oct Average
22.59,1980,Nov Average
19.6,1980,Dec Average
20.07,1981,Jan Average
20.83,1981,Feb Average
22.84,1981,Mar Average
24.26,1981,Apr Average
26.87,1981,May Average
26.9,1981,Jun Average
27.16,1981,Jul Average
26.79,1981,Aug Average
25.82,1981,Sep Average
25.28,1981,Oct Average
23.4,1981,Nov Average
19.17,1981,Dec Average
18.83,1982,Jan Average
20.76,1982,Feb Average
21.61,1982,Mar Average
26.44,1982,Apr Average
27.62,1982,May Average
27.63,1982,Jun Average
27.82,1982,Jul Average
27,1982,Aug Average
26.6,1982,Sep Average
25,1982,Oct Average
22.07,1982,Nov Average
19.75,1982,Dec Average
18.45,1983,Jan Average
20.25,1983,Feb Average
22.01,1983,Mar Average
25.86,1983,Apr Average
26.19,1983,May Average
26.99,1983,Jun Average
27.03,1983,Jul Average
26.89,1983,Aug Average
25.79,1983,Sep Average
24.16,1983,Oct Average
23.16,1983,Nov Average
20.59,1983,Dec Average
19.72,1984,Jan Average
21.26,1984,Feb Average
21.01,1984,Mar Average
24.51,1984,Apr Average
26.69,1984,May Average
27.02,1984,Jun Average
26.81,1984,Jul Average
26.91,1984,Aug Average
25.67,1984,Sep Average
24.77,1984,Oct Average
23.21,1984,Nov Average
20.53,1984,Dec Average
19.45,1985,Jan Average
20.67,1985,Feb Average
21.9,1985,Mar Average
25.5,1985,Apr Average
26.55,1985,May Average
27.32,1985,Jun Average
26.93,1985,Jul Average
27.13,1985,Aug Average
26.14,1985,Sep Average
24.5,1985,Oct Average
22.41,1985,Nov Average
21.2,1985,Dec Average
