Temperature,Year,Statistics
20.88,1986,Jan Average
22.11,1986,Feb Average
23.38,1986,Mar Average
25.75,1986,Apr Average
27.71,1986,May Average
27.71,1986,Jun Average
27.8,1986,Jul Average
27.36,1986,Aug Average
26.39,1986,Sep Average
25.75,1986,Oct Average
23.25,1986,Nov Average
19.54,1986,Dec Average
21.01,1987,Jan Average
21.41,1987,Feb Average
21.97,1987,Mar Average
25.01,1987,Apr Average
27.35,1987,May Average
27.65,1987,Jun Average
27.52,1987,Jul Average
27.08,1987,Aug Average
26.5,1987,Sep Average
24.48,1987,Oct Average
22.08,1987,Nov Average
21.01,1987,Dec Average
20.32,1988,Jan Average
20.73,1988,Feb Average
21.74,1988,Mar Average
26.04,1988,Apr Average
26.88,1988,May Average
27.34,1988,Jun Average
27.45,1988,Jul Average
27.3,1988,Aug Average
26.72,1988,Sep Average
25.02,1988,Oct Average
23.08,1988,Nov Average
20.71,1988,Dec Average
20.93,1989,Jan Average
21.51,1989,Feb Average
22.09,1989,Mar Average
25.94,1989,Apr Average
26.51,1989,May Average
27.41,1989,Jun Average
27.38,1989,Jul Average
27.79,1989,Aug Average
26.82,1989,Sep Average
25.19,1989,Oct Average
23.65,1989,Nov Average
21.54,1989,Dec Average
21.07,1990,Jan Average
21.68,1990,Feb Average
23.62,1990,Mar Average
26.12,1990,Apr Average
27.36,1990,May Average
27.54,1990,Jun Average
27.4,1990,Jul Average
26.93,1990,Aug Average
26.7,1990,Sep Average
24.79,1990,Oct Average
22.6,1990,Nov Average
21.38,1990,Dec Average
